"total","year","disappearance","year.1","appearance","year.2","year_pair","MRS","tissue","group1","group2","group3"
0.106635071090047,0,0.00710900473933649,0,0.0995260663507109,0,"-1-0",12.8430962343096,"Midgut",6,2,5
0.104265402843602,3,0.0971563981042654,3,0.00710900473933649,3,"0-3",7.65899581589958,"Midgut",6,2,5
0.0234986945169713,6,0.0182767624020888,6,0.00522193211488251,6,"3-6",2.96652719665272,"Midgut",6,2,5
0.040920716112532,9,0.00255754475703325,9,0.0383631713554987,9,"6-9",6.53138075313807,"Midgut",6,2,5
0.0460358056265985,12,0.0434782608695652,12,0.00255754475703325,12,"9-12",6.88702928870293,"Midgut",6,2,5
0.0159574468085106,24,0.0106382978723404,24,0.00531914893617021,24,"12-24",2.19456066945607,"Midgut",6,2,5
0.125295508274232,48,0.00472813238770686,48,0.120567375886525,48,"24-48",19.4769874476987,"Midgut",6,2,5
0.118203309692671,72,0.113475177304965,72,0.00472813238770686,72,"48-72",14.9916317991632,"Midgut",6,2,5
0.0253164556962025,0,0.010126582278481,0,0.0151898734177215,0,"-1-0",28.1799163179916,"Midgut",6,2,6
0.038265306122449,3,0.0357142857142857,3,0.00255102040816327,3,"0-3",6.27615062761506,"Midgut",6,2,6
0.0157894736842105,6,0.0105263157894737,6,0.00526315789473684,6,"3-6",4.50418410041841,"Midgut",6,2,6
0.0463917525773196,9,0.0154639175257732,9,0.0309278350515464,9,"6-9",4.56276150627615,"Midgut",6,2,6
0.0835380835380835,12,0.0221130221130221,12,0.0614250614250614,12,"9-12",10.8389121338912,"Midgut",6,2,6
0.036319612590799,24,0,24,0.036319612590799,24,"12-24",18.428870292887,"Midgut",6,2,6
0.0845410628019324,48,0.0821256038647343,48,0.00241545893719807,48,"24-48",17.0543933054393,"Midgut",6,2,6
0.0338541666666667,72,0.0234375,72,0.0104166666666667,72,"48-72",18.1506276150628,"Midgut",6,2,6
0.040920716112532,0,0.010230179028133,0,0.030690537084399,0,"-1-0",14.7489539748954,"Midgut",6,3,1
0.051413881748072,3,0.0462724935732648,3,0.0051413881748072,3,"0-3",7.73221757322176,"Midgut",6,3,1
0.0186666666666667,6,0.008,6,0.0106666666666667,6,"3-6",5.39330543933054,"Midgut",6,3,1
0.0582278481012658,9,0,9,0.0582278481012658,9,"6-9",6.51882845188284,"Midgut",6,3,1
0.0618811881188119,12,0.0396039603960396,12,0.0222772277227723,12,"9-12",5.82426778242678,"Midgut",6,3,1
0.0562347188264059,24,0.00488997555012225,24,0.0513447432762836,24,"12-24",10.5292887029289,"Midgut",6,3,1
0.0802919708029197,48,0.0705596107055961,48,0.0097323600973236,48,"24-48",18.3807531380753,"Midgut",6,3,1
0.0338541666666667,72,0.0286458333333333,72,0.00520833333333333,72,"48-72",4.34100418410042,"Midgut",6,3,1
0.0849514563106796,0,0.0825242718446602,0,0.00242718446601942,0,"-1-0",11.6652719665272,"Midgut",6,3,2
0.0601503759398496,3,0.0075187969924812,3,0.0526315789473684,3,"0-3",6.39539748953975,"Midgut",6,3,2
0.0606060606060606,6,0.0606060606060606,6,0,6,"3-6",6.91004184100418,"Midgut",6,3,2
0.0338541666666667,9,0.00260416666666667,9,0.03125,9,"6-9",4.3765690376569,"Midgut",6,3,2
0.0462724935732648,12,0.0308483290488432,12,0.0154241645244216,12,"9-12",4.46234309623431,"Midgut",6,3,2
0.0182767624020888,24,0.00261096605744125,24,0.0156657963446475,24,"12-24",21.3179916317992,"Midgut",6,3,2
0.0669975186104218,48,0.0148883374689826,48,0.0521091811414392,48,"24-48",23.8514644351464,"Midgut",6,3,2
0.0525,72,0.045,72,0.0075,72,"48-72",7.61715481171548,"Midgut",6,3,2
0.132584269662921,0,0.11685393258427,0,0.0157303370786517,0,"-1-0",16.8200836820084,"Midgut",6,3,3
0.101654846335697,3,0.0307328605200946,3,0.0709219858156028,3,"0-3",8.03556485355649,"Midgut",6,3,3
0.097323600973236,6,0.0948905109489051,6,0.0024330900243309,6,"3-6",7.4163179916318,"Midgut",6,3,3
0.026525198938992,9,0.013262599469496,9,0.013262599469496,9,"6-9",28.8912133891213,"Midgut",6,3,3
0.102941176470588,12,0.0147058823529412,12,0.0882352941176471,12,"9-12",33.6276150627615,"Midgut",6,3,3
0.114077669902913,24,0.0898058252427184,24,0.0242718446601942,24,"12-24",15.0020920502092,"Midgut",6,3,3
0.0364583333333333,48,0.0130208333333333,48,0.0234375,48,"24-48",14.2384937238494,"Midgut",6,3,3
0.0671641791044776,72,0.0099502487562189,72,0.0572139303482587,72,"48-72",13.765690376569,"Midgut",6,3,3
0.0594059405940594,0,0,0,0.0594059405940594,0,"-1-0",12.7384937238494,"Midgut",6,3,4
0.00740740740740741,3,0.00493827160493827,3,0.00246913580246914,3,"0-3",3.42259414225942,"Midgut",6,3,4
0.0864197530864197,6,0.0814814814814815,6,0.00493827160493827,6,"3-6",7.9163179916318,"Midgut",6,3,4
0.0212201591511936,9,0.00795755968169761,9,0.013262599469496,9,"6-9",3.47907949790795,"Midgut",6,3,4
0.0236220472440945,12,0.005249343832021,12,0.0183727034120735,12,"9-12",2.78870292887029,"Midgut",6,3,4
0.0767326732673267,24,0.0148514851485149,24,0.0618811881188119,24,"12-24",6.66108786610879,"Midgut",6,3,4
0.125,48,0.0462962962962963,48,0.0787037037037037,48,"24-48",18.0983263598326,"Midgut",6,3,4
0.110854503464203,72,0.0623556581986143,72,0.0484988452655889,72,"48-72",9.00418410041841,"Midgut",6,3,4
0.106635071090047,0,0.00710900473933649,0,0.0995260663507109,0,"-1-0",12.8430962343096,"Midgut",6,3,5
0.104265402843602,3,0.0971563981042654,3,0.00710900473933649,3,"0-3",7.65899581589958,"Midgut",6,3,5
0.0236220472440945,6,0.0236220472440945,6,0,6,"3-6",4.02301255230126,"Midgut",6,3,5
0.0561224489795918,9,0.00510204081632653,9,0.0510204081632653,9,"6-9",7.19246861924686,"Midgut",6,3,5
0.0460358056265985,12,0.0434782608695652,12,0.00255754475703325,12,"9-12",6.88702928870293,"Midgut",6,3,5
0.0159574468085106,24,0.0106382978723404,24,0.00531914893617021,24,"12-24",2.19456066945607,"Midgut",6,3,5
0.125295508274232,48,0.00472813238770686,48,0.120567375886525,48,"24-48",19.4769874476987,"Midgut",6,3,5
0.118203309692671,72,0.113475177304965,72,0.00472813238770686,72,"48-72",14.9916317991632,"Midgut",6,3,5
0.0253164556962025,0,0.010126582278481,0,0.0151898734177215,0,"-1-0",28.1799163179916,"Midgut",6,3,6
0.038265306122449,3,0.0357142857142857,3,0.00255102040816327,3,"0-3",6.27615062761506,"Midgut",6,3,6
0.0211081794195251,6,0.0184696569920844,6,0.00263852242744063,6,"3-6",4.18619246861924,"Midgut",6,3,6
0.0364583333333333,9,0.00520833333333333,9,0.03125,9,"6-9",4.68619246861924,"Midgut",6,3,6
0.0835380835380835,12,0.0221130221130221,12,0.0614250614250614,12,"9-12",10.8389121338912,"Midgut",6,3,6
0.036319612590799,24,0,24,0.036319612590799,24,"12-24",18.428870292887,"Midgut",6,3,6
0.0845410628019324,48,0.0821256038647343,48,0.00241545893719807,48,"24-48",17.0543933054393,"Midgut",6,3,6
0.0338541666666667,72,0.0234375,72,0.0104166666666667,72,"48-72",18.1506276150628,"Midgut",6,3,6
0.040920716112532,0,0.010230179028133,0,0.030690537084399,0,"-1-0",14.7489539748954,"Midgut",6,4,1
0.051413881748072,3,0.0462724935732648,3,0.0051413881748072,3,"0-3",7.73221757322176,"Midgut",6,4,1
0.0237467018469657,6,0.00263852242744063,6,0.0211081794195251,6,"3-6",5.60041841004184,"Midgut",6,4,1
0.0577889447236181,9,0.00753768844221105,9,0.050251256281407,9,"6-9",6.2510460251046,"Midgut",6,4,1
0.0618811881188119,12,0.0396039603960396,12,0.0222772277227723,12,"9-12",5.82426778242678,"Midgut",6,4,1
0.0562347188264059,24,0.00488997555012225,24,0.0513447432762836,24,"12-24",10.5292887029289,"Midgut",6,4,1
0.0802919708029197,48,0.0705596107055961,48,0.0097323600973236,48,"24-48",18.3807531380753,"Midgut",6,4,1
0.0338541666666667,72,0.0286458333333333,72,0.00520833333333333,72,"48-72",4.34100418410042,"Midgut",6,4,1
0.0849514563106796,0,0.0825242718446602,0,0.00242718446601942,0,"-1-0",11.6652719665272,"Midgut",6,4,2
0.0601503759398496,3,0.0075187969924812,3,0.0526315789473684,3,"0-3",6.39539748953975,"Midgut",6,4,2
0.0552763819095477,6,0.050251256281407,6,0.0050251256281407,6,"3-6",6.581589958159,"Midgut",6,4,2
0.0537084398976982,9,0.020460358056266,9,0.0332480818414322,9,"6-9",5.2489539748954,"Midgut",6,4,2
0.0462724935732648,12,0.0308483290488432,12,0.0154241645244216,12,"9-12",4.46234309623431,"Midgut",6,4,2
0.0182767624020888,24,0.00261096605744125,24,0.0156657963446475,24,"12-24",21.3179916317992,"Midgut",6,4,2
0.0669975186104218,48,0.0148883374689826,48,0.0521091811414392,48,"24-48",23.8514644351464,"Midgut",6,4,2
0.0525,72,0.045,72,0.0075,72,"48-72",7.61715481171548,"Midgut",6,4,2
0.132584269662921,0,0.11685393258427,0,0.0157303370786517,0,"-1-0",16.8200836820084,"Midgut",6,4,3
0.101654846335697,3,0.0307328605200946,3,0.0709219858156028,3,"0-3",8.03556485355649,"Midgut",6,4,3
