"ASV_ID","Kingdom","Phylum","PC","Class","Order","Family","Genus","Species","last"
"ASV_1","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Unassigned","g_Achromobacter"
"ASV_8","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_baumannii","s_Acinetobacter_baumannii"
"ASV_5","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_14","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","Unassigned","g_Achromobacter"
"ASV_12","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","Unassigned","g_Cupriavidus"
"ASV_10","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Unassigned","g_Burkholderia"
"ASV_24","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_11","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marivita","Unassigned","g_Marivita"
"ASV_22","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_2","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Unassigned","g_Pseudomonas"
"ASV_28","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_4","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_7","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unassigned","g_Vibrio"
"ASV_26","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Unassigned","g_Halomonas"
"ASV_18","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_31","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Alphaproteobacteria"
"ASV_20","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unassigned","Unassigned","f_Enterobacteriaceae"
"ASV_19","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_baumannii","s_Acinetobacter_baumannii"
"ASV_13","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_venetianus","s_Acinetobacter_venetianus"
"ASV_30","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_25","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","Ralstonia_pickettii","s_Ralstonia_pickettii"
"ASV_6","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Unassigned","g_Acinetobacter"
"ASV_15","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Unassigned","g_Burkholderia"
"ASV_29","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_17","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassococcus","Thalassococcus_halodurans","s_Thalassococcus_halodurans"
"ASV_27","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Nautella","Unassigned","g_Nautella"
"ASV_23","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Unassigned","g_Burkholderia"
"ASV_9","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Unassigned","Unassigned","Unassigned","o_Rhodobacterales"
"ASV_16","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_3","Bacteria","Firmicutes","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_XII","Exiguobacterium","Unassigned","g_Exiguobacterium"
"ASV_21","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unassigned","g_Vibrio"
"ASV_34","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseovarius","Unassigned","g_Roseovarius"
"ASV_39","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Unassigned","g_Acinetobacter"
"ASV_37","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Marivita","Unassigned","g_Marivita"
"ASV_40","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Unassigned","g_Photobacterium"
"ASV_45","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Unassigned","g_Acinetobacter"
"ASV_44","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria","Unassigned","g_Ruegeria"
"ASV_42","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Alphaproteobacteria"
"ASV_32","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Unassigned","g_Brevundimonas"
"ASV_33","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","Ralstonia_mannitolilytica","s_Ralstonia_mannitolilytica"
"ASV_46","Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","Prauserella","Unassigned","g_Prauserella"
"ASV_41","Bacteria","Firmicutes","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Unassigned","g_Aerococcus"
"ASV_35","Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium","Propionibacterium_acnes","s_Propionibacterium_acnes"
"ASV_43","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Unassigned","g_Phenylobacterium"
"ASV_38","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unassigned","g_Vibrio"
"ASV_49","Bacteria","Verrucomicrobia","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Unassigned","Unassigned","f_Verrucomicrobiaceae"
"ASV_62","Bacteria","Chlamydiae","Chlamydiae","Chlamydiia","Chlamydiales","Unassigned","Unassigned","Unassigned","o_Chlamydiales"
"ASV_36","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unassigned","Unassigned","f_Enterobacteriaceae"
"ASV_64","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_68","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_56","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_66","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Unassigned","g_Acinetobacter"
"ASV_65","Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter","Rubrobacter_bracarensis","s_Rubrobacter_bracarensis"
"ASV_63","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unassigned","Unassigned","f_Enterobacteriaceae"
"ASV_47","Bacteria","Firmicutes","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Anoxybacillus","Unassigned","g_Anoxybacillus"
"ASV_67","Bacteria","Firmicutes","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus","Unassigned","g_Bacillus"
"ASV_48","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicola","Unassigned","g_Oceanicola"
"ASV_58","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Unassigned","g_Acinetobacter"
"ASV_54","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Donghicola","Donghicola_eburneus","s_Donghicola_eburneus"
"ASV_52","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter","Unassigned","g_Erythrobacter"
"ASV_51","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Gammaproteobacteria"
"ASV_53","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Unassigned","g_Alteromonas"
"ASV_57","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Unassigned","g_Stenotrophomonas"
"ASV_50","Bacteria","Firmicutes","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus","Unassigned","g_Bacillus"
"ASV_60","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Unassigned","g_Brevundimonas"
"ASV_59","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas_maltophilia","s_Stenotrophomonas_maltophilia"
"ASV_55","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unassigned","Unassigned","f_Enterobacteriaceae"
"ASV_71","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_junii","s_Acinetobacter_junii"
"ASV_61","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unassigned","g_Vibrio"
"ASV_77","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Unassigned","Unassigned","f_Bradyrhizobiaceae"
"ASV_70","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_73","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_69","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","Ralstonia_insidiosa","s_Ralstonia_insidiosa"
"ASV_80","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Gammaproteobacteria"
"ASV_79","Bacteria","Firmicutes","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XII","Fusibacter","Unassigned","g_Fusibacter"
"ASV_82","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unassigned","g_Vibrio"
"ASV_76","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Alphaproteobacteria"
"ASV_84","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Unassigned","g_Halomonas"
"ASV_83","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unassigned","g_Vibrio"
"ASV_86","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Unassigned","g_Burkholderia"
"ASV_78","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria","Unassigned","g_Ruegeria"
"ASV_75","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Unassigned","g_Pseudomonas"
"ASV_81","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_venetianus","s_Acinetobacter_venetianus"
"ASV_100","Bacteria","Parcubacteria","Parcubacteria","Unassigned","Unassigned","Unassigned","Parcubacteria_genera_incertae_sedis","Unassigned","c_Unassigned"
"ASV_72","Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dietziaceae","Dietzia","Unassigned","g_Dietzia"
"ASV_74","Bacteria","Firmicutes","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Unassigned","g_Staphylococcus"
"ASV_90","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_98","Bacteria","Firmicutes","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Oceanirhabdus","Oceanirhabdus_sediminicola","s_Oceanirhabdus_sediminicola"
"ASV_85","Bacteria","Bacteroidetes","Bacteroidetes","Sphingobacteriia","Unassigned","Unassigned","Unassigned","Unassigned","c_Sphingobacteriia"
"ASV_105","Bacteria","Bacteroidetes","Bacteroidetes","Flavobacteriia","Unassigned","Unassigned","Unassigned","Unassigned","c_Flavobacteriia"
"ASV_88","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_104","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Gammaproteobacteria"
"ASV_94","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","Psychrobacter_celer","s_Psychrobacter_celer"
"ASV_89","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_87","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Unassigned","g_Pseudoalteromonas"
"ASV_103","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Thiotrichales","Francisellaceae","Francisella","Unassigned","g_Francisella"
"ASV_92","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanicola","Unassigned","g_Oceanicola"
"ASV_95","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Uruburuella","Unassigned","g_Uruburuella"
"ASV_91","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unassigned","Unassigned","f_Enterobacteriaceae"
"ASV_93","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Chromatiales","Unassigned","Unassigned","Unassigned","o_Chromatiales"
"ASV_96","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Unassigned","g_Shewanella"
"ASV_110","Bacteria","Bacteroidetes","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Unassigned","Unassigned","f_Saprospiraceae"
"ASV_106","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Cohaesibacteraceae","Cohaesibacter","Cohaesibacter_gelatinilyticus","s_Cohaesibacter_gelatinilyticus"
"ASV_97","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium_sediminicola","s_Novosphingobium_sediminicola"
"ASV_108","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_101","Bacteria","Bacteroidetes","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_haoranii","s_Flavobacterium_haoranii"
"ASV_109","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Unassigned","g_Halomonas"
"ASV_99","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter","Unassigned","g_Sulfitobacter"
"ASV_102","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Alphaproteobacteria"
"ASV_118","Bacteria","Bacteroidetes","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Lishizhenia","Lishizhenia_tianjinensis","s_Lishizhenia_tianjinensis"
"ASV_114","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Unassigned","Unassigned","f_Brucellaceae"
"ASV_111","Bacteria","Bacteroidetes","Bacteroidetes","Flavobacteriia","Unassigned","Unassigned","Unassigned","Unassigned","c_Flavobacteriia"
"ASV_122","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Unassigned","g_Bradyrhizobium"
"ASV_107","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Unassigned","Unassigned","f_Brucellaceae"
"ASV_120","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","Unassigned","g_Serratia"
"ASV_113","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Unassigned","g_Acinetobacter"
"ASV_126","Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Actinobacteria"
"ASV_116","Bacteria","Bacteroidetes","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Unassigned","Unassigned","f_Porphyromonadaceae"
"ASV_133","Bacteria","Bacteroidetes","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unassigned","Unassigned","f_Flavobacteriaceae"
"ASV_124","Bacteria","Planctomycetes","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Unassigned","Unassigned","f_Planctomycetaceae"
"ASV_137","Bacteria","Firmicutes","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","Unassigned","g_Leuconostoc"
"ASV_117","Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Chondromyces","Unassigned","g_Chondromyces"
"ASV_115","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_135","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Unassigned","g_Paracoccus"
"ASV_132","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Unassigned","g_Pseudomonas"
"ASV_112","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Gammaproteobacteria"
"ASV_125","Bacteria","Bacteroidetes","Bacteroidetes","Flavobacteriia","Flavobacteriales","Unassigned","Unassigned","Unassigned","o_Flavobacteriales"
"ASV_140","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_123","Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Unassigned","g_Desulfovibrio"
"ASV_128","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","k_Bacteria"
"ASV_129","Bacteria","Cyanobacteria","Cyanobacteria","Cyanobacteria","Unassigned","Family_XI","GpXI","Unassigned","f_Family_XI"
"ASV_119","Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae","Nocardioides","Nocardioides_marinus","s_Nocardioides_marinus"
"ASV_134","Bacteria","Bacteroidetes","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unassigned","Unassigned","f_Flavobacteriaceae"
"ASV_121","Bacteria","Firmicutes","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Anoxybacillus","Unassigned","g_Anoxybacillus"
"ASV_127","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Maritalea","Maritalea_porphyrae","s_Maritalea_porphyrae"
"ASV_141","Bacteria","Firmicutes","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Unassigned","g_Staphylococcus"
"ASV_131","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Unassigned","g_Bradyrhizobium"
"ASV_138","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Alphaproteobacteria"
"ASV_130","Bacteria","Firmicutes","Firmicutes","Bacilli","Lactobacillales","Unassigned","Unassigned","Unassigned","o_Lactobacillales"
"ASV_136","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_145","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_147","Bacteria","Firmicutes","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Unassigned","g_Lactococcus"
"ASV_143","Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium","Corynebacterium_tuberculostearicum","s_Corynebacterium_tuberculostearicum"
"ASV_155","Bacteria","Bacteroidetes","Bacteroidetes","Flavobacteriia","Unassigned","Unassigned","Unassigned","Unassigned","c_Flavobacteriia"
"ASV_148","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Alphaproteobacteria"
"ASV_149","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella","Unassigned","g_Escherichia/Shigella"
"ASV_151","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Gammaproteobacteria"
"ASV_139","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Neptunomonas","Neptunomonas_concharum","s_Neptunomonas_concharum"
"ASV_154","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Unassigned","g_Delftia"
"ASV_142","Bacteria","Actinobacteria","Actinobacteria","Actinobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter","Rubrobacter_bracarensis","s_Rubrobacter_bracarensis"
"ASV_158","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Unassigned","g_Halomonas"
"ASV_166","Bacteria","Planctomycetes","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Unassigned","Unassigned","f_Planctomycetaceae"
"ASV_144","Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","Unassigned","g_Delftia"
"ASV_150","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_153","Bacteria","Firmicutes","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Unassigned","g_Lactobacillus"
"ASV_160","Bacteria","Bacteroidetes","Bacteroidetes","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","p_Bacteroidetes"
"ASV_146","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea","Unassigned","g_Pantoea"
"ASV_161","Bacteria","Bacteroidetes","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Unassigned","g_Maribacter"
"ASV_152","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Unassigned","g_Halomonas"
"ASV_159","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unassigned","Unassigned","f_Rhodobacteraceae"
"ASV_157","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","c_Gammaproteobacteria"
"ASV_156","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Catenococcus","Unassigned","g_Catenococcus"
"ASV_174","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella","Unassigned","g_Acidocella"
"ASV_173","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Pseudomonas_beteli","s_Pseudomonas_beteli"
"ASV_172","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unassigned","g_Sphingomonas"
"ASV_171","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Unassigned","Unassigned","f_Oceanospirillaceae"
